,Current Ranking,University Name,Overall Score,"City, Country",2021 Ranking,2020 Ranking,2019 Ranking,Status,Research Output,Student/Faculty Ratio,Scholarships,International Students,Size,Total Faculty
104,107,Washington University in St. Louis,58,"St. Louis,United States",105,108,=100,Private,Very High,5,Yes,"3,535",L,"3,193"
105,108,The University of Adelaide,57.9,"Adelaide,Australia",106,106,114,Public,Very High,13,Yes,"10,107",L,"1,757"
106,=108,"University of California, Davis",57.9,"Davis,United States",112,104,-,Public,Very High,10,,"8,414",XL,"3,420"
107,109,King Abdulaziz University (KAU),57.7,"Jeddah,Saudi Arabia",143,186,-,Public,Very High,8,,"6,821",XL,"4,054"
108,110,Utrecht University,57.5,"Utrecht,Netherlands",121,120,124,Public,Very High,10,Yes,"4,454",XL,"3,254"
109,111,Université de Montréal,57.3,"Montreal,Canada",118,137,=149,Public,Very High,7,Yes,"7,625",XL,"5,533"
110,=112,Aalto University,57,"Espoo,Finland",127,134,140,Public,Very High,9,,"2,202",L,"1,396"
111,=112,Boston University,57,"Boston,United States",110,98,=93,Private,Very High,10,Yes,"8,159",L,"2,642"
112,=112,Leiden University,57,"Leiden,Netherlands",128,118,=122,Public,Very High,12,Yes,"6,064",XL,
113,=112,University of Southern California,57,"Los Angeles,United States",121,129,115,Private,Very High,10,Yes,"9,107",XL,"3,116"
114,116,Purdue University,56.9,"West Lafayette,United States",109,111,-,Public,Very High,15,,"8,034",XL,"2,622"
115,117,Queen Mary University of London,56.7,"London,United Kingdom",=114,126,119,Public,Very High,9,Yes,"8,625",L,"2,119"
116,118,Nagoya University,56.2,"Nagoya,Japan",110,115,111,Public,Very High,6,,"1,879",L,"2,512"
117,119,University of Bern,56.1,"Bern,Switzerland",=114,123,139,Public,Very High,8,,"1,776",M,"1,212"
118,120,The Ohio State University,56,"Columbus,United States",108,-,89,Public,Very High,9,,"7,029",XL,"6,388"
119,=121,Chalmers University of Technology,55.9,"Gothenburg,Sweden",139,=125,=128,Private,Very High,8,Yes,"2,502",M,
120,=121,Universidade de São Paulo,55.9,"São Paulo,Brazil",115,116,118,Public,Very High,13,,"1,858",XL,"4,943"
121,123,Wageningen University & Research,55.8,"Wageningen,Netherlands",115,125,125,Public,Very High,5,Yes,"4,131",L,"2,767"
122,124,Uppsala University,55.4,"Uppsala,Sweden",124,116,117,Public,Very High,10,,"8,401",L,"2,843"
123,125,Eindhoven University of Technology,55.3,"Eindhoven,Netherlands",120,-,-,Public,Very High,9,Yes,"1,872",M,"1,145"
124,126,University of Alberta,55.2,"Edmonton,Canada",119,113,109,Public,Very High,9,Yes,"9,689",XL,"3,645"
125,127,Freie Universitaet Berlin,54.9,"Berlin,Germany",130,130,130,Public,Very High,25,,"6,659",XL,"1,389"
126,=128,Humboldt-Universität zu Berlin,54.8,"Berlin,Germany",117,120,121,Public,Very High,17,,"5,239",XL,"1,967"
127,=128,University of Groningen,54.8,"Groningen,Netherlands",128,114,120,Public,Very High,8,,"9,397",XL,"3,724"
128,130,École Normale Supérieure de Lyon,54.6,"Lyon,France",161,160,153,Public,Very High,5,,233,S,387
129,131,Nanjing University,54.2,"Nanjing,China (Mainland)",124,120,=122,Public,Very High,11,,"2,513",XL,"3,040"
130,132,Lancaster University,54,"Lancaster,United Kingdom",135,128,131,Public,Very High,10,Yes,"5,557",L,"1,440"
131,133,University of Technology Sydney,53.9,"Haymarket,Australia",133,140,=160,Public,Very High,16,Yes,"8,653",L,
132,134,Newcastle University,53.8,"Newcastle upon Tyne,United Kingdom",152,146,=141,Public,Very High,10,Yes,"8,100",L,"2,766"
133,135,Pontificia Universidad Católica de Chile (UC),53.6,"Santiago,Chile",121,127,=132,Private,Very High,12,Yes,"1,072",L,"2,343"
134,136,"KIT, Karlsruhe Institute of Technology",53.4,"Karlsruhe,Germany",131,124,116,Public,Very High,10,,"5,030",L,"2,080"
135,137,Kyushu University,53.3,"Fukuoka City,Japan",124,132,=126,Public,Very High,7,,"2,125",L,"2,761"
136,=138,University of Basel,53,"Basel,Switzerland",149,151,=160,Public,Very High,9,,"2,875",M,"1,036"
137,140,McMaster University,52.7,"Hamilton,Canada",144,140,146,Public,Very High,7,Yes,"5,386",L,"3,819"
138,141,Ghent University,52.6,"Ghent,Belgium",135,130,138,Public,Very High,7,,"4,609",XL,"5,537"
139,142,Politecnico di Milano,52.5,"Milan,Italy",137,149,=156,Public,Very High,21,Yes,"7,452",XL,"1,659"
140,143,Universiti Putra Malaysia (UPM),52.2,"Seri Kembangan,Malaysia",132,159,-,Public,Very High,8,,"5,040",L,"2,174"
141,144,Universiti Kebangsaan Malaysia (UKM),52,"Bangi,Malaysia",141,160,=184,Public,Very High,6,,"2,410",L,"2,829"
142,145,Hokkaido University,51.4,"Sapporo,Japan",139,132,=128,Public,Very High,7,,"1,984",L,"2,476"
143,146,"University of California, Santa Barbara (UCSB)",51.2,"Santa Barbara,United States",152,135,=132,Public,Very High,16,,"4,309",L,"1,597"
144,147,Universiti Sains Malaysia (USM),51,"Gelugor,Malaysia",142,165,-,Public,Very High,8,,"4,198",L,"2,249"
145,148,Stockholm University,50.6,"Stockholm,Sweden",181,191,-,Public,Very High,12,,"7,567",L,"2,325"
146,=149,The University of Exeter,50.5,"Exeter,United Kingdom",164,163,=154,Public,Very High,10,Yes,"7,188",L,"2,393"
